sentence1,sentence2,score
"Verifies that the return request belongs to the original order's customer.","Calculates a seller quality penalty from marketplace performance metrics based on late shipments and damaged returns.",0
"Takes a customer's order by recording the customer name and selected items. Updates the order status as ordered.","Takes a customer's order by recording their name and the items they have selected, then marks the order as ordered.",1
"Processes the customer payment for the order. Updates the order status after the payment is completed.","Declaring a payment as complete marks the order as paid.",1
"Prepares the selected coffee drink for the customer. Updates the drink preparation status.","Prepares a coffee by specifying the type of drink.",1
"Prepares the selected pastry item for the customer. Updates the pastry status as prepared.","Preparing a pastry for consumption by labeling it as prepared.",1
"Serves the completed order to the customer. Returns a confirmation that the customer has been served.","Serves a customer by retrieving their name from an order and returning a confirmation message.",1
"Generates a daily report for all completed orders. Counts total orders and ordered items for the day.","It compiles a daily report by counting the total number of orders and items in a collection of orders.",1
"Takes a customer's order by recording the customer name and selected items. Updates the order status as ordered.","Prepares a coffee by specifying the type of drink.",0
"Processes the customer payment for the order. Updates the order status after the payment is completed.","Preparing a pastry for consumption by labeling it as prepared.",0
"Prepares the selected coffee drink for the customer. Updates the drink preparation status.","Declaring a payment as complete marks the order as paid.",0
"Prepares the selected pastry item for the customer. Updates the pastry status as prepared.","Serves a customer by retrieving their name from an order and returning a confirmation message.",0
"Serves the completed order to the customer. Returns a confirmation that the customer has been served.","It compiles a daily report by counting the total number of orders and items in a collection of orders.",0
"Generates a daily report for all completed orders. Counts total orders and ordered items for the day.","Takes a customer's order by recording their name and the items they have selected, then marks the order as ordered.",0
"Adds selected book to the shopping cart with specified quantity. Updates the cart with the newly added book details.","Adding a selected book to a shopping cart and updating the cart's totals accurately.",1
"Searches the catalog for a book by title or author. Updates the search results with matching book information.","Searches for books in a database by matching the query against their titles and authors.",1
"Charges the selected payment method to complete the transaction. Confirms the payment transaction to ensure successful completion.","Charging a customer's card marks an order as paid when the payment succeeds.",1
"Confirms order details, shipping address, and payment method before completing checkout. Updates the order status to confirmed and prepares it for payment processing.","Retrieves and displays the delivery tracking information for a specific order.",0
"Applies a discount to the order total if a valid discount code is present. Updates the order amount after discount calculation with the new total.","Calculates the total cost of a collection of items by summing the product of each item's quantity and unit price.",0
"Sends an order confirmation email with order details and estimated delivery date. Updates the order status to reflect completion after sending confirmation.","Retrieves and displays the delivery tracking information for a specific order.",0
"Adds selected book to the shopping cart with specified quantity. Updates the cart with the newly added book details.","Calculates the total cost of a collection of items by summing the product of each item's quantity and unit price.",0
"Searches the catalog for a book by title or author. Updates the search results with matching book information.","Based on the code, the function recommends books to a customer by suggesting titles from preferred authors that have not been previously purchased, or if none are available, it suggests the two books with the highest stock levels.",0
"Charges the selected payment method to complete the transaction. Confirms the payment transaction to ensure successful completion.","This code cancels an existing order by marking it as cancelled and storing the cancellation reason.",0
"Confirms order details, shipping address, and payment method before completing checkout. Updates the order status to confirmed and prepares it for payment processing.","This code cancels an existing order by marking it as cancelled and storing the cancellation reason.",0
"Applies a discount to the order total if a valid discount code is present. Updates the order amount after discount calculation with the new total.","Charging a customer's card marks an order as paid when the payment succeeds.",0
"Sends an order confirmation email with order details and estimated delivery date. Updates the order status to reflect completion after sending confirmation.","Searches for books in a database by matching the query against their titles and authors.",0
"Searches for available time slots in the clinic schedule. Updates the clinic schedule with the booked appointment after confirmation.","Reserving an available appointment slot for a patient by checking the doctor's schedule and verifying the patient's registration.",1
"Searches doctor schedules for the requested date and available appointment slots. Returns available appointment slots for the selected doctor.","Determining the availability of a doctor's schedule for a specific day returns a list of unbooked time slots.",1
"Prescribes medication based on patient diagnosis, updating the patient record accordingly. Updates patient record with prescribed medicines and dosage instructions.","Creates a new prescription for a patient by storing the prescribed medicine and dosage instructions in the patient's record.",1
"Records the doctor's diagnosis after consultation and updates the patient's medical record. Updates the patient's medical record with the doctor's diagnosis notes.","Appending a new consultation diagnosis note to a patient's medical record.",1
"Registers patient's personal details and contact information. Stores the patient's profile for future clinic visits.","Creates or updates a patient profile with validated contact details by checking for required fields and formatting the input data.",1
"Searches for available time slots in the clinic schedule. Updates the clinic schedule with the booked appointment after confirmation.","Creates or updates a patient profile with validated contact details by checking for required fields and formatting the input data.",0
"Searches doctor schedules for the requested date and available appointment slots. Returns available appointment slots for the selected doctor.","Reserving an available appointment slot for a patient by checking the doctor's schedule and verifying the patient's registration.",0
"Prescribes medication based on patient diagnosis, updating the patient record accordingly. Updates patient record with prescribed medicines and dosage instructions.","Appending a new consultation diagnosis note to a patient's medical record.",0
"Records the doctor's diagnosis after consultation and updates the patient's medical record. Updates the patient's medical record with the doctor's diagnosis notes.","Creates a new prescription for a patient by storing the prescribed medicine and dosage instructions in the patient's record.",0
"Registers patient's personal details and contact information. Stores the patient's profile for future clinic visits.","This code calculates the total clinic invoice for a patient by summing the consultation and medication fees.",0
"Searches for available time slots in the clinic schedule. Updates the clinic schedule with the booked appointment after confirmation.","This code calculates the total clinic invoice for a patient by summing the consultation and medication fees.",0
"Searches doctor schedules for the requested date and available appointment slots. Returns available appointment slots for the selected doctor.","This code calculates the total clinic invoice for a patient by summing the consultation and medication fees.",0
"Registers patient's personal details and contact information. Stores the patient's profile for future clinic visits.","Determining the availability of a doctor's schedule for a specific day returns a list of unbooked time slots.",0
"Dispatches the assigned crew to the service location at the scheduled time. Updates the work order status and dispatch timestamp accordingly.","Dispatches a crew to a scheduled service by updating the status of the corresponding work order to CREW_DISPATCHED.",1
"Schedules a field inspection appointment for requests requiring location verification. Stores inspection date, inspector, and expected visit window in the system.","Scheduling a field inspection for a request by assigning a qualified inspector and setting a future inspection date.",1
"Searches for payment confirmation and updates invoice payment status. Records payment reference and confirms payment for the municipal service invoice.","Confirms a payment for an invoice by updating its status and generating a payment reference, effectively marking the invoice as paid.",1
"Assesses request urgency based on category, priority, safety risk, and reported impact. Updates the request priority score and escalation flag accordingly.","This code assesses the urgency of a request by evaluating its priority, description, and category, then assigns a score and updates the request status.",1
"Schedules the execution date and time for the service after crew and materials are available. Stores the planned execution schedule for future reference and crew dispatch.","Scheduling a service execution assigns a crew to a work order and sets its status to SCHEDULED at the preferred date or the next day if the preferred date is in the past.",1
"Marks service work completed after required activities are finished. Stores completion notes, final materials used, and completion timestamp.","Marking a service work as completed by updating its status and completion notes, and notifying the associated request.",1
"Assigns an available work crew based on skill, department, and service location. Updates the work order with crew assignment information.","Assigns a work crew to a specific work order based on availability and department match.",1
"Cancel a service request when withdrawal or duplicate handling is confirmed. Records cancellation reason and updates final status accordingly.","It cancels a service request by marking it as cancelled and recording the cancellation reason.",1
"Validates resident identity, contact information, and account status before service processing. Updates the request with resident validation result.","This code verifies a resident's profile by checking their email and phone number validity, and updates the request status accordingly.",1
"Searches resident details and request information for service request creation. Stores the request as open for initial validation in the system.","Creates a new service request by assigning a unique identifier, populating its details, and storing it in a database.",1
"Generates a work order from the approved service request details. Stores the initial status of the generated work order.","It creates a new work order for an approved request by assigning materials and updating the request status.",1
"Estimates service cost based on labor hours, material needs, and equipment requirements. Stores the estimated cost for subsequent approval and budget checks.","It calculates the estimated cost of a service by combining labor hours, material costs, equipment costs, and a severity factor, then updates the service request with the estimated cost.",1
"Closes the service request after completion and quality verification are finished. Stores final closure status and timestamp for future reference.","Marks a service request as closed by updating its status and timestamp.",1
"Assigns an available case officer with matching department and workload capacity. Updates the request with officer ownership and relevant details.","Assigns a case officer to a request by selecting the officer with the fewest open cases from a list of available officers in the same department.",1
"Searches available budget for the estimated service cost of the order. Updates the case with budget approval or rejection status accordingly.","Checks whether a department's budget is sufficient to cover the estimated cost of a request, approving or rejecting it accordingly.",1
"Approves service work after inspection and budget validation are complete. Updates request status to approved for execution and enables work order generation.","Approves a service by updating its status to WORK_APPROVED if it has already been budget-approved.",1
"Searches for existing requests matching the location and category. Updates the request status to linked or continues with the new request.","Identifies potential duplicates of a given request by comparing its location and category with existing requests, marking the original request as a duplicate if a match is found.",1
"Reserves required materials from municipal inventory for the generated work order. Deducts reserved quantities and records material reservation details.","Reserving materials for a work order updates the status of the order to MATERIALS_RESERVED and deducts the required quantities from the available stock.",1
"Calculates final service cost using labor, materials, equipment, and additional charges. Stores final cost on the case for future reference.","Calculating the final cost of a construction project involves determining the total cost based on labor hours, material costs, and equipment expenses, with additional fees applied for high-urgency requests.",1
"Generates a resident invoice with line items, due date, and payable amount. Stores invoice number, line items, due date, and payable amount in the system.","It generates a new invoice for a billable request by creating an invoice object, assigning a unique ID, and updating the request status to INVOICE_GENERATED.",1
"Retrieves field inspection findings, photos, severity, and recommended action from the inspection site. Updates the case with the retrieved inspection result and recommended action.","This code updates the status of a field inspection to COMPLETED and marks the corresponding request as INSPECTED.",1
"Escalates critical safety-related requests to emergency supervisors for immediate attention. Updates escalation level and alerts responsible managers to critical situations.","Escalating a critical request sends a notification to a supervisor about the escalated status of the request.",1
"Routes the validated request to the responsible municipal department based on category and location. Updates ownership and department queue with the assigned department information.","Routing assigns a department to a request based on its category, updating the request's status to ROUTED in the process.",1
"Creates a rework action when quality verification fails, recording the reason. Returns the work order to the assigned crew for rework.","Opens a rework request for a work order, assigning it a new status and sending a notification with the reason.",1
"Classifies the submitted service request into the correct operational category. Stores the category for routing purposes to determine the next steps.","Categorizes a maintenance request as one of several types, such as road, sanitation, lighting, or parks, based on keywords in the request description.",1
"Dispatches the assigned crew to the service location at the scheduled time. Updates the work order status and dispatch timestamp accordingly.","This code predicts the risk of delay for a service request based on its urgency score, weather conditions, and crew workload.",0
"Schedules a field inspection appointment for requests requiring location verification. Stores inspection date, inspector, and expected visit window in the system.","Generates a compliance audit report by counting the number of requests made within a specified date range and returns a dictionary containing the report details.",0
"Searches for payment confirmation and updates invoice payment status. Records payment reference and confirms payment for the municipal service invoice.","Calculates the performance of an officer by counting the number of tasks they have been assigned and the number of tasks they have completed.",0
"Assesses request urgency based on category, priority, safety risk, and reported impact. Updates the request priority score and escalation flag accordingly.","Removes old notifications from a collection by retaining only those sent on or after a specified date.",0
"Generates a work order from the approved service request details. Stores the initial status of the generated work order.","Synchronizes a request with an external portal by generating a unique external identifier and updating its status.",0
"Reserves required materials from municipal inventory for the generated work order. Deducts reserved quantities and records material reservation details.","Generates a plan to reorder materials by identifying which materials are low in stock and recommending a quantity to order.",0
"Collects resident satisfaction rating and comments after service completion. Stores feedback for service quality reporting purposes.","It retrieves a specific invoice by its unique identifier and raises an error if it does not exist.",0
"Updates department dashboard metrics after request changes and completion events. Refreshes operational KPIs based on work progress and feedback updates.","It retrieves a specific work order from a collection by its unique identifier, raising an error if it does not exist.",0
"Rejects requests with invalid resident profile, unsupported category, or insufficient information. Records rejection reason and notifies the resident.","It retrieves a specific service request by its unique identifier, raising an error if it does not exist.",0
"Performs field inspection and updates the case with inspection findings and recommended action.","This code retrieves a specific inspection by its ID, raising an error if it does not exist.",0
"Creates a new support ticket with device details and issue description. Updates the ticket with contact information for further assistance.","Creates a new ticket for a customer's technical issue by generating a unique identifier and storing the issue details in a database.",1
"Validates the customer's profile, contact details, and active account status. Updates the process flow based on the validation results.","Validates a customer's profile by checking their email, activation status, and phone number, and updates a ticket's status accordingly.",1
"Classifies the reported issue symptoms to determine the correct service category. Assigns the support ticket to the appropriate service category based on the classification.","Classifies a technical issue as one of five categories based on its description and updates the corresponding ticket's status to CATEGORY_CLASSIFIED.",1
"Verifies the warranty status of the device and updates the ticket accordingly. Updates the ticket with warranty approval status based on the verification result.","Determines whether a warranty is still valid for a given ticket by checking if the current date is before the warranty expiry date.",1
"Estimates the repair cost based on issue category and warranty status. Updates the repair cost calculation with labor cost and replacement part requirements.","Estimates the total cost of a service by calculating labor and parts costs based on a ticket's category and warranty status.",1
"Assigns an available technician with the required skill set to the ticket. Updates the ticket with technician ownership and relevant details.","Assigns a repair technician to a ticket based on the technician's availability and skills, updating the ticket status accordingly.",1
"Schedules a repair visit date and time based on technician availability. Confirms the scheduled visit date and time with the customer's preferred window.","Schedules a service visit for a customer by assigning a technician and setting a visit time.",1
"Searches the device for faults and updates the ticket with inspection findings. It records the discovered fault and updates the ticket accordingly.","Updates a device inspection record by logging the fault found, severity, and inspection time, and marks the device as inspected.",1
"Completes the required repair actions and updates the service ticket as repaired. Stores repair notes for future reference and review.","Completes a repair job by updating the status of a ticket and decrementing the active jobs count for the assigned technician.",1
"Confirms payment for the repair service and updates the ticket status. Updates the ticket with payment reference and marks it as paid.","Confirms a payment for a repair ticket by updating the ticket status and creating a new payment record.",1
"Sends a completion message to the customer with repair result and payment status. Updates the customer with collection instructions and confirms payment status.","Sends a completion notification to a customer's email address after their repair service ticket is finished.",1
"Closes the support ticket after repair, payment, and customer notification are completed. Updates the ticket status to reflect that the issue has been resolved.","Closes a ticket by updating its status and timestamp, blocking closure if the customer has not been notified.",1
"Creates a new support ticket with device details and issue description. Updates the ticket with contact information for further assistance.","Validates a customer's profile by checking their email, activation status, and phone number, and updates a ticket's status accordingly.",0
"Creates a new support ticket with device details and issue description. Updates the ticket with contact information for further assistance.","This code creates demo data for customers and technicians, populating a database with sample entries.",0
"Validates the customer's profile, contact details, and active account status. Updates the process flow based on the validation results.","Classifies a technical issue as one of five categories based on its description and updates the corresponding ticket's status to CATEGORY_CLASSIFIED.",0
"Classifies the reported issue symptoms to determine the correct service category. Assigns the support ticket to the appropriate service category based on the classification.","Determines whether a warranty is still valid for a given ticket by checking if the current date is before the warranty expiry date.",0
"Verifies the warranty status of the device and updates the ticket accordingly. Updates the ticket with warranty approval status based on the verification result.","Estimates the total cost of a service by calculating labor and parts costs based on a ticket's category and warranty status.",0
"Estimates the repair cost based on issue category and warranty status. Updates the repair cost calculation with labor cost and replacement part requirements.","Confirms a payment for a repair ticket by updating the ticket status and creating a new payment record.",0
"Assigns an available technician with the required skill set to the ticket. Updates the ticket with technician ownership and relevant details.","Schedules a service visit for a customer by assigning a technician and setting a visit time.",0
"Schedules a repair visit date and time based on technician availability. Confirms the scheduled visit date and time with the customer's preferred window.","Updates a device inspection record by logging the fault found, severity, and inspection time, and marks the device as inspected.",0
"Searches the device for faults and updates the ticket with inspection findings. It records the discovered fault and updates the ticket accordingly.","Completes a repair job by updating the status of a ticket and decrementing the active jobs count for the assigned technician.",0
"Completes the required repair actions and updates the service ticket as repaired. Stores repair notes for future reference and review.","Sends a completion notification to a customer's email address after their repair service ticket is finished.",0
"Confirms payment for the repair service and updates the ticket status. Updates the ticket with payment reference and marks it as paid.","Closes a ticket by updating its status and timestamp, blocking closure if the customer has not been notified.",0
"Sends a completion message to the customer with repair result and payment status. Updates the customer with collection instructions and confirms payment status.","Confirms a payment for a repair ticket by updating the ticket status and creating a new payment record.",0
"Closes the support ticket after repair, payment, and customer notification are completed. Updates the ticket status to reflect that the issue has been resolved.","This code processes a customer's repair request by opening a ticket, verifying warranty coverage, allocating a repair agent, and confirming payment for the repair job.",0
"Assigns an available technician with the required skill set to the ticket. Updates the ticket with technician ownership and relevant details.","This code creates demo data for customers and technicians, populating a database with sample entries.",0
"Verifies the warranty status of the device and updates the ticket accordingly. Updates the ticket with warranty approval status based on the verification result.","This code processes a customer's repair request by opening a ticket, verifying warranty coverage, allocating a repair agent, and confirming payment for the repair job.",0
"Inspect received items verifies delivered products for quantity accuracy and visible damage. Inspect received items confirms acceptance condition before inventory registration can proceed.","This code verifies the condition of received items by inspecting their damage and updates the status of the receiving case to reflect the accepted and rejected items.",1
"Approves accepted stock for use in customer orders after inspection and registration. Verifies that received stock meets quality and quantity requirements for customer orders.","Verifies the inventory availability for a specific receiving case and updates its status accordingly.",1
"Inspect received items verifies delivered products for quantity accuracy and visible damage. Inspect received items confirms acceptance condition before inventory registration can proceed.","Calculates the supplier reliability index by determining the ratio of rejected items to received items for a given supplier.",0
"Approves accepted stock for use in customer orders after inspection and registration. Verifies that received stock meets quality and quantity requirements for customer orders.","Purges expired reservation locks by marking old reserved records as expired after a cutoff time.",0
"Receive supplier shipment receives supplier shipment details, including delivered items and arrival timestamp. Updates inventory records with received items and shipment information.","This code initiates and completes the receiving process for a shipment of books by verifying the delivery, screening for damaged items, updating inventory, and preparing the items for sale.",0
"Close warehouse receipt closes the receiving case after completion of reporting and procurement notification processes. Updates the warehouse case status to reflect closure of receiving activities.","This code calculates the supplier reliability index by determining the ratio of rejected items to received items for a given supplier.",0
"Reserves the selected hotel venue for the approved event date. Blocks the room from other bookings to secure the reservation.","Reserves a banquet room for an event by checking availability and updating the room's reserved dates.",1
"Reserves the selected hotel venue for the approved event date. Blocks the room from other bookings to secure the reservation.","Defines a Venue object that creates a new venue with a specified ID, capacity, and daily rate.",0
"Sends the prepared quotation to the client for review and approval. Records the quotation delivery status and timestamp for future reference.","Calculates and prepares a quotation for venue booking by determining the total cost based on the number of guests, catering tier, and additional equipment needs.",0
"Sends the prepared quotation to the client for review and approval. Records the quotation delivery status and timestamp for future reference.","Sending a confirmation email to a customer notifies them that their event booking has been confirmed at a specified venue.",0
"Collect booking deposit verifies the payment of the required booking deposit for the event booking. Stores the payment reference on the event booking for future reference.","Creates a record of a payment transaction, storing details such as the payment amount, method, and status.",0
"Arrange catering package arranges catering package details, including meal type, guest count, and dietary requirements. Stores selected catering package information for future reference and setup scheduling.","This code defines a blueprint for creating a customized catering plan by specifying the meal type, number of guests, and any special dietary notes.",0
"Assigns an available event coordinator based on event type and schedule. Updates the event coordinator assignment and workload accordingly.","Creates a new instance of a coordinator with a unique identifier and a set of specialties they can perform.",0
"Capture event inquiry captures event inquiry details with event date, guest count, and contact information. Updates the inquiry record with requested venue preferences and event details.","This code creates a new booking case with specified details, such as client name, email, event date, and number of guests.",0
"Schedule setup crew schedules hotel setup staff for event preparation time and venue setup instructions. Records setup instructions for the venue to ensure successful event execution.","Creates a setup record for a venue at a specified time with a given layout style and status.",0
"Send booking confirmation sends booking confirmation details to the client with event information. Includes venue, schedule, coordinator, and payment details in the confirmation.","Defines a class that creates notification record with a recipient, subject, message, and timestamp, allowing for the tracking of sent notifications.",0
"Captures event inquiry details with event date, guest count, and contact information. Updates the inquiry record with requested venue preferences and event details.","Capturing a client's event inquiry creates a new booking record with a unique identifier and stores the requested event details.",1
"Searches available hotel halls for the requested date and guest count. Returns suitable venue options based on the search results.","This code identifies and returns available venue options for an event based on guest capacity and date availability.",1
"Calculates an estimated event quotation based on venue cost and guest count. Updates the quotation with catering package, equipment needs, and service fee details.","Calculates and prepares a quotation for venue booking by determining the total cost based on guests, catering tier, and additional equipment needs.",1
"Confirms client acceptance of the quotation and updates booking request status. Updates the booking request with approval status based on client confirmation.","Marks a customer's acceptance of a booking quote by updating its status and recording the approval time.",1
"Verifies the payment of the required booking deposit for the event booking. Stores the payment reference on the event booking for future reference.","Settles an advance reservation payment by verifying the deposit amount, generating a payment reference, and updating the booking status.",1
"Reserves the selected hotel venue for the approved event date. Blocks the room from other bookings to secure the reservation.","Reserves a banquet room for an event by checking availability and updating the room's reserved dates.",1
"Assigns an available event coordinator based on event type and schedule. Updates the event coordinator assignment and workload accordingly.","Assigns a coordinator to a booking based on their specialties and availability.",1
"Arranges catering package details, including meal type, guest count, and dietary requirements. Stores selected catering package information for future reference and setup scheduling.","Arranging a catering package for a booking updates the booking status and returns the configured plan.",1
"Schedules hotel setup staff for event preparation time and venue setup instructions. Records setup instructions for the venue to ensure successful event execution.","Scheduling allocates a room preparation team for a booking by creating a setup plan and updating the booking status.",1
"Generates the final event contract with booking details and agreed services. Updates the contract with deposit payment and cancellation term information.","Generates a contract reference for a booking agreement after required booking details are available.",1
"Sends booking confirmation details to the client with event information. Includes venue, schedule, coordinator, and payment details in the confirmation.","Sending a confirmation email to a customer notifies them that their event booking has been confirmed at a specified venue.",1
"Closes the event booking case after all requirements are met. Verifies that venue reservation, deposit payment, and contract are complete.","Confirms the closure of an event booking by updating its status and timestamp if all required details are present.",1
"Reviews the cancellation policy for the event booking based on date and contract terms. Updates the booking with cancellation eligibility and penalty details.","Evaluates cancellation terms for an event booking by checking event date, contract status, and penalty rules.",1
"Updates the event schedule with revised setup, start, and end times. Stores the updated timeline for coordination and venue planning.","Revises a planned event timeline by saving setup, start, and finish times to the booking record.",1
"Registers a prescription request with patient details, medicine list, and doctor reference. Updates the request status for pharmacy validation.","Creates a medication order case by storing patient, doctor, and requested medicine details.",1
"Validates patient identity, contact details, and active profile status. Updates the prescription case with patient validation results.","Verifies a patient's health record by checking required details and updating the prescription status.",1
"Checks whether the prescribing doctor is authorized to issue the requested medicine. Updates the prescription request with authorization status.","Confirms prescriber eligibility by verifying the doctor's license and permission to prescribe the requested items.",1
"Searches current pharmacy stock for the requested medicines. Updates the request with available, shortage, and substitute medicine information.","Scans drug stock levels and returns available quantities for requested prescription items.",1
"Reviews dosage instructions for completeness and safe usage. Updates the prescription record with dosage validation notes.","Audits medication directions by checking dose, frequency, and duration before fulfillment.",1
"Prepares the approved medicine package for the patient. Updates the package with medicine labels, quantities, and handling instructions.","Assembles a dispensing bundle by grouping approved medicines, labels, and quantities for pickup.",1
"Calculates the prescription price using medicine cost, insurance coverage, and service fees. Stores the calculated charge on the request.","Computes the pharmacy charge by combining item prices, coverage adjustments, and dispensing fees.",1
"Submits the prescription cost to insurance for coverage approval. Updates the prescription case with claim reference and coverage result.","Submits a reimbursement request to the coverage provider and records the returned claim decision.",1
"Collects the remaining patient payment after coverage calculation. Stores the payment reference and marks the prescription as paid.","Settles a patient's medication balance by recording payment amount, method, and payment reference.",1
"Sends a pickup notification to the patient with medicine readiness and pickup instructions. Updates notification delivery status.","Notifies the patient that the prescription is ready for pickup and stores the sent message details.",1
"Dispenses the prepared prescription to the patient after validation and payment. Updates inventory and marks the medicine as released.","Releases medicine to the patient by confirming payment, reducing stock, and updating the order status.",1
"Closes the prescription case after dispensing and notification are completed. Stores the final status and completion timestamp.","Completes the medication order file by marking it closed after release and documentation are complete.",1
"Records pharmacist notes about substitution, counseling, or special handling. Updates the prescription file with the clinical remark.","Appends a clinical dispensing remark to the medication order for future reference.",1
"Flags controlled medicine for additional review before dispensing. Updates the request with restricted drug review status.","Marks a restricted drug review when a medication requires extra validation before release.",1
"Creates a enrollment request with learner details, selected course, and contact information. Updates the learning application for initial validation.","Opens a learning application by storing learner, course, contact, and request details.",1
